pageId,pageName,url
0,"Formula One",https://en.wikipedia.org/wiki/Formula_One
1,"107% Rule",https://en.wikipedia.org/wiki/107%25_rule
2,"DHL Fastest Lap Award",https://en.wikipedia.org/wiki/DHL_Fastest_Lap_Award
3,"DHL Fastest Pit Stop Award",https://en.wikipedia.org/wiki/DHL_Fastest_Pit_Stop_Award
4,"Drag Reduction System",https://en.wikipedia.org/wiki/Drag_reduction_system
5,"Formula One Engines",https://en.wikipedia.org/wiki/Formula_One_engines
6,"F1 in Schools",https://en.wikipedia.org/wiki/F1_in_Schools
7,"Fastest Lap",https://en.wikipedia.org/wiki/Fastest_lap
8,"Fédération Internationale de l'Automobile",https://en.wikipedia.org/wiki/F%C3%A9d%C3%A9ration_Internationale_de_l%27Automobile
9,"FIA Super License",https://en.wikipedia.org/wiki/FIA_Super_Licence
10,"Formula One Car",https://en.wikipedia.org/wiki/Formula_One_car
11,"Formula One Racing",https://en.wikipedia.org/wiki/Formula_One_racing
12,"History of Formula One",https://en.wikipedia.org/wiki/History_of_Formula_One
13,"History of Formula One Regulations",https://en.wikipedia.org/wiki/History_of_Formula_One_regulations
14,"Kinetic Energy Recovery System (KERS)",https://en.wikipedia.org/wiki/History_of_Formula_One_regulations
15,"Parc Fermé",https://en.wikipedia.org/wiki/Parc_ferm%C3%A9
16,"Formula One Tyres",https://en.wikipedia.org/wiki/Formula_One_tyres
17,"Formula One Regulations",https://en.wikipedia.org/wiki/Formula_One_regulations
18,"Formula One Teams Association",https://en.wikipedia.org/wiki/Formula_One_Teams_Association
